Разработчик Python|https://hh.ru/vacancy/66619965|None|ОПЫТ И ПРОФЕССИОНАЛЬНЫЕ НАВЫКИ: Уверенное знание языка и библиотек <highlighttext>Python</highlighttext>. Умение работать с Git. Опыт коммерческой разработки от 3 лет...Участие в проектировании и разработка учетно-управляющей информационной системы крупной логистической компании. Проект: создание системы управления исполнением заказов на перевозку...
Lead Python разработчик|https://hh.ru/vacancy/70484294|250000|Опыт <highlighttext>Python</highlighttext> для работы с данными от 5-х лет. Алгоритмическая подготовка, понимание основных алгоритмов и структур данных. None
Python разработчик (to Cyprus / Armenia)|https://hh.ru/vacancy/70427816|не указана|Опыт работы с <highlighttext>Python</highlighttext> от 3 лет. Умение писать понятный код. Базовое понимание сети (HTTP – обязательно). Готовность решать сложные и...Конструктивные особенности и решения с учетом будущего использования и всех других ограничений. Участвовать в дизайне и код-ревью. 
Аналитик Python|https://hh.ru/vacancy/70411295|не указана|Высшее образование законченное. Опыт работы от года в качестве аналитика. Знание <highlighttext>Python</highlighttext> обязательно. Аналитический склад ума, абстрактное мышление, умение сопоставлять...Подготовка оперативной отчетности. Системный анализ. Подготовка материала для создания презентации по проекту. Автоматизация обработки всевозможных отчетов.
Аналитик данных / Data Analyst|https://hh.ru/vacancy/69647954|60000|Владеть языком программирования <highlighttext>Python</highlighttext>: типы данных и их особенности, ООП-программирование, функциональное программирование, асинхронность, многопоточность. <highlighttext>Python</highlighttext> — ваш инструмент и нужно...Развитие направления анализа данных в нашей компании, развитие продукта Optimacros в сфере статистического прогнозирования. Взаимодействие с клиентами: участие в защите...
Data Engineer (Python) Middle-Senior|https://hh.ru/vacancy/69265532|150000|Опыт промышленной разработки от 1,5 лет. Владение SQL, знание на базовом уровне Bash, Linux. Знание процессов бизнеса и разработки. Разрабатывать и поддерживать цепочки процессов обработки и хранения данных. Писать MapReduce-операции на SQL и <highlighttext>Python</highlighttext> с использованием специализированных библиотек.
Backend-разработчик|https://hh.ru/vacancy/68729729|3500|Знание <highlighttext>Python</highlighttext> 3. Уверенная работа с СУБД и SQL. Опыт разработки серверного приложения. Опыт работы с backend на <highlighttext>python</highlighttext> от...Веб Крафт – это нижегородская компания, участвующая в разработке веб-приложений. Мы занимаемся разработкой, маркетингом, техническим сопровождением клиентов и распространением приложений...
Data scientist|https://hh.ru/vacancy/69724262|150000|Знание основных алгоритмов и метрик машинного обучения. Ключевые навыки: <highlighttext>Python</highlighttext>, SQL, ML. Практические навыки работы с рекомендательными системами: знание архитектур...Работа в команде по созданию модуля Data Science & AI, отвечающего за обработку данных, консолидированных в хранилище, и интеллектуальное обеспечение различных...
Python backend/desktop разработчик|https://hh.ru/vacancy/69777761|не указана|От 1 года коммерческой разработки в команде на <highlighttext>Python</highlighttext>. Опыт использования Django, Docker, Git, Linux. Опыт написания десктоп-приложений на...Интерес к IoT, личное использование различных платформ умного дома. Работа с большими данными, анализ данных, разработка парсеров и интеграций. 
Junior HFT Quant Trader / Data Scientist Orion Systematic AG|https://hh.ru/vacancy/70535105|100000|Top technical degree in math/physics or finance. 2. Advanced <highlighttext>Python</highlighttext> skills and proficiency in numpy, pandas ( C# or C++...Tasks: Our team develops quantitative strategies for trading futures on several markets across the globe. As a Junior HFT Quant...
