animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A665084,1,,51,3,1,2013-02-13 00:00:00
A689634,1,,51,27,25,2014-06-07 00:00:00
A688598,1,,51,3,1,2014-08-30 00:00:00
A680868,1,,11,22,25,2012-06-09 00:00:00
A679031,1,*Pete,51,14,1,2014-03-15 00:00:00
A665666,1,*Teddy,51,27,1,2012-10-21 00:00:00
A684011,1,,51,42,1,2013-07-18 00:00:00
A680380,1,,51,42,1,2014-05-11 00:00:00
A685282,1,,51,24,1,2014-07-29 00:00:00
A684441,1,,51,13,25,2013-07-23 00:00:00
A681828,1,,51,27,1,2014-05-29 00:00:00
A688627,1,,51,24,1,2014-09-04 00:00:00
A686974,1,*Beau,64,23,1,2014-06-29 00:00:00
A686736,1,,51,6,25,2014-02-26 00:00:00
A690326,1,Mitzy,51,3,1,1999-10-18 00:00:00
A692370,1,,51,13,25,2011-11-19 00:00:00
A686063,1,,20,27,1,2012-08-16 00:00:00
A683415,1,Socks,51,6,25,2014-04-18 00:00:00
A680129,1,*Hugh,48,37,1,2014-04-15 00:00:00
A688995,1,,51,42,1,2014-04-27 00:00:00
A650349,1,Ethel,51,3,1,2007-03-27 00:00:00
A668323,1,,20,13,25,2012-12-02 00:00:00
A674755,1,,51,6,25,2014-03-12 00:00:00
A662943,1,*Harry,51,27,1,2013-03-10 00:00:00
A679310,1,,51,23,25,2014-05-17 00:00:00
A680242,1,*Darwen,51,42,1,2012-05-31 00:00:00
A682044,1,*Lizzy,51,3,1,2014-05-19 00:00:00
A667357,1,Kit Tay,51,13,25,2011-11-16 00:00:00
A679451,1,,51,23,1,2014-04-29 00:00:00
A681101,1,Spaghetti,51,42,1,2013-06-12 00:00:00
A688553,1,Abby,20,13,25,2014-08-20 00:00:00
A683200,1,Brody,51,22,25,2014-05-24 00:00:00
A678051,1,,51,42,1,2014-04-11 00:00:00
A676804,1,,51,27,25,2014-03-20 00:00:00
A691496,1,*Juliet,51,3,1,2014-09-20 00:00:00
A665893,1,Joey,51,14,1,2013-05-09 00:00:00
A691626,1,Raja,51,13,25,1999-11-07 00:00:00
A672194,1,*Chestnut,51,42,1,2014-01-29 00:00:00
A690804,1,,51,14,1,2013-10-26 00:00:00
A671534,1,Stella,14,36,25,2013-01-26 00:00:00
